author name,title,journal_info,cited by,year,root url,number of authors,Title Url,Order in which the author we're interested in appears,Url
Tor N Tolhurst,Synthetic control methods for the distribution of treatment effects: Estimating the effect of genetic engineering on crop yields,,,2021,https://ageconsearch.umn.edu,2,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&cstart=20&pagesize=100&citation_for_view=6af0v1IAAAAJ:5nxA0vEk-isC,1,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,Impact of Natural Disasters on Risky Health Behavior: Evidence from a Quasi-Experimental Study in the US,,,2021,https://ageconsearch.umn.edu,3,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&cstart=20&pagesize=100&citation_for_view=6af0v1IAAAAJ:8k81kl-MbHgC,3,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,Innovation Induced Volatility: 65 Years of Increasing and Asymmetric Crop Yield Volatility in the US Corn Belt,,,2017,https://arefiles.ucdavis.edu,2,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&cstart=20&pagesize=100&citation_for_view=6af0v1IAAAAJ:W7OEmFMy1HYC,1,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,The Effect of Technological Change on Crop Yields in Regular and Catastrophic Years,FRAC: Structure and Performance of Agriculture and Agri-products Industry …,,2013,https://www.spaa-network.fsaa.ulaval.ca,2,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&cstart=20&pagesize=100&citation_for_view=6af0v1IAAAAJ:Zph67rFs4hoC,1,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,On technological change in crop yields,"American Journal of Agricultural Economics 97 (1), 137-158",84,2015,https://onlinelibrary.wiley.com,2,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&citation_for_view=6af0v1IAAAAJ:u5HHmVD_uO8C,1,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,Increasing crop diversity mitigates weather variations and improves yield stability,"PloS one 10 (2), e0113261",413,2015,https://journals.plos.org,7,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&citation_for_view=6af0v1IAAAAJ:u-x6o8ySG0sC,2,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,A Model-Free Bubble Detection Method: Application to the World Market for Superstar Wines,,,2018,https://ageconsearch.umn.edu,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&cstart=20&pagesize=100&citation_for_view=6af0v1IAAAAJ:WF5omc3nYNoC,1,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,Model-free detection of a speculative asset bubble: Evidence from the world market for superstar wines,,1,2019,https://arec.umd.edu,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&citation_for_view=6af0v1IAAAAJ:_FxGoFyzp5QC,1,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,Economic value of the herbicide DACTHAL for brassica and allium crops in California,"ARE Update 22 (2), 5-8",2,2018,https://s.giannini.ucop.edu,8,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&citation_for_view=6af0v1IAAAAJ:4TOpqqG69KYC,7,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,Fellows Address,,,2017,https://search.ebscohost.com,22,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&cstart=20&pagesize=100&citation_for_view=6af0v1IAAAAJ:qxL8FJ1GzNcC,17,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,Not all beef‐cut price shocks are alike: Disentangling supply and demand shocks in the US beef market,"Journal of the Agricultural and Applied Economics Association 3 (1), 25-40",,2024,https://onlinelibrary.wiley.com,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&cstart=20&pagesize=100&citation_for_view=6af0v1IAAAAJ:M3ejUd6NZC8C,2,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,On the Treatment of Heteroscedasticity in Area-Yield/Group-Risk Crop Insurance,"Cahier de recherche/Working paper, 05",,2013,https://www.spaa-network.fsaa.ulaval.ca,2,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&cstart=20&pagesize=100&citation_for_view=6af0v1IAAAAJ:2osOgNQ5qMEC,2,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,"Economic and Pest Management Evaluation of Proposed 1, 3-Dichloropropene Regulation",,,,https://www.cdfa.ca.gov,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&cstart=20&pagesize=100&citation_for_view=6af0v1IAAAAJ:ULOm3_A8WrAC,7,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,Bubbles in the Field,,,2021,https://arefiles.ucdavis.edu,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&cstart=20&pagesize=100&citation_for_view=6af0v1IAAAAJ:MXK_kJrjxJIC,1,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,Economic and pest management evaluation of the withdrawal of chlorpyrifos: six major California commodities,,2,2022,https://www.cdfa.ca.gov,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&citation_for_view=6af0v1IAAAAJ:Se3iqnhoufwC,4,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,Economic and pest management evaluation of proposed regulation of nitroguanidine-substituted neonicotinoid insecticides: eight major California commodities. Prepared by the …,"July 2, 2021",2,2021,https://www.cdfa.ca.gov,14,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&citation_for_view=6af0v1IAAAAJ:KlAtU1dfN6UC,4,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,Econometric Models of Crop Yields: Two Essays,University of Guelph,1,2013,https://atrium.lib.uoguelph.ca,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&citation_for_view=6af0v1IAAAAJ:9yKSN-GCB0IC,1,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,Agroecological approaches to mitigate increasing limitation of corn yields by water availability,"Procedia Environmental Sciences 29, 11-12",1,2015,https://www.sciencedirect.com,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&citation_for_view=6af0v1IAAAAJ:UeHWp8X0CEIC,2,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,Environmental Justice and Self-Regulation of Pesticide Applications: Evidence from California,,1,2019,https://ageconsearch.umn.edu,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&citation_for_view=6af0v1IAAAAJ:roLk4NBRz8UC,1,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,"Left, right, or both? Long-run returns from Bordeaux","Journal of Wine Economics 17 (3), 225-240",2,2022,https://www.cambridge.org,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&citation_for_view=6af0v1IAAAAJ:YOwf2qJgpHMC,1,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
Tor N Tolhurst,The fingerprint of climate on 65 years of increasing and asymmetric crop yield volatility in the corn belt,,3,2017,https://ageconsearch.umn.edu,2,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6af0v1IAAAAJ&citation_for_view=6af0v1IAAAAJ:eQOLeE2rZwMC,1,https://scholar.google.com/citations?hl=en&user=6af0v1IAAAAJ
